pk,username,full_name,follower_count,biography
37844018878,l.stylestep,이창용,32251,KOREA 🇰🇷 ▪️서포터즈▪️어반디타입 LMR OHP - Freelancer Model  - Backseop Model - Publish Fashion Related Content - 광고 협찬 DM 💌
6622948822,matin_kang,민성,18606,📩 Contact DM 📧 min4673min@gmail.com
670807029,eyesmag,eyesmagazine 아이즈매거진,1075124,놓치면 안 될 이슈 TOP 8 👀
69767789769,smeller_news,스멜러 l 향수 추천 l 뉴스 큐레이션,27276,"👃 향 맡는 사람을 위한 트렌디한 향수 큐레이션, 스멜러 👀 매일 올라오는 향수 추천, 브랜드 소개, 팝업 정보 등 💌 smellerofficial@gmail.com"
704557284,choi.yh,최용현,33706,@curtis.seoul
63534099001,aespa_kkwobalou,에스파 꿔바로우,13615,#aespa #에스파                                                           2020.11.17 #aespa 💜    Fanstagram
64483235043,hobbies_for_sophie,수빈🎀Sophie Heo,5037,"🌱🐰🐿️ 행복한 성장일기장🌱  💖 : yoga🧘‍♀️ running🏃‍♀️ hiking⛰️  💖 @hassoul_official  @mayala_kr ♥︎5k 23'45""♥︎10k 48’44“♥︎half 1:53’59”♥︎35k 3:34'18"""
53618769876,_tripgoing,트립고잉 tripgoing,767477,New Lifestyle Magazine <Tripgoing> ⠀ Contact : tripgoingkorea@gmail.com
4163530,10.12.16yp,운동중 수린이 🏊‍♀️,100630,#yogini#runner #swimmer @malden_official @thejoy_official
57512431809,lottobubu,로또부부,117287,"@seonhwa._.lee 👩🏻‍❤️‍👨🏻 @shinestone__._.__  로또처럼 안 맞지만, 서로 사랑하는 부부❣️"
